SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
539011,Chennai Ferrous Industries Ltd,Active,X,10.0,INE777O01016,,CHENFERRO,Equity,https://www.bseindia.com/stock-share-price/chennai-ferrous-industries-ltd/chenferro/539011/,CHENNAI FERROUS INDUSTRIES LIMITED,29.30
539012,Megri Soft Ltd,Active,X,10.0,INE756R01013,,MEGRISOFT,Equity,https://www.bseindia.com/stock-share-price/megri-soft-ltd/megrisoft/539012/,Megri Soft Limited,24.51
539013,Gita Renewable Energy Ltd,Active,X,10.0,INE776O01018,,GITARENEW,Equity,https://www.bseindia.com/stock-share-price/gita-renewable-energy-ltd/gitarenew/539013/,GITA RENEWABLE ENERGY LIMITED,30.98
539014,Kalpa Commercial Ltd,Active,X,10.0,INE059Q01014,,KALPACOMME,Equity,https://www.bseindia.com/stock-share-price/kalpa-commercial-ltd/kalpacomme/539014/,Kalpa Commercial Limited,9.01
539015,Ortel Communications Ltd,Active,Z,10.0,INE849L01019,,ORTEL,Equity,https://www.bseindia.com/stock-share-price/ortel-communications-ltd/ortel/539015/,Ortel Communications Limited,6.96
539016,Neil Industries Ltd,Active,X,10.0,INE396C01010,,NEIL,Equity,https://www.bseindia.com/stock-share-price/neil-industries-ltd/neil/539016/,Neil Industries Ltd.,13.55
539017,Star Housing Finance Ltd,Active,XT,5.0,INE526R01028,,STARHFL,Equity,https://www.bseindia.com/stock-share-price/star-housing-finance-ltd/starhfl/539017/,STAR HOUSING FINANCE LIMITED,47.93
539018,Beekay Steel Industries Ltd,Active,B,10.0,INE213D01015,,BEEKAY,Equity,https://www.bseindia.com/stock-share-price/beekay-steel-industries-ltd/beekay/539018/,Beekay Steel Industries Ltd.,752.30
539026,SSPN Finance Ltd,Active,M,10.0,INE820R01017,,SSPNFIN,Equity,https://www.bseindia.com/stock-share-price/sspn-finance-ltd/sspnfin/539026/,SSPN Finance Limited,2.81
539031,SBI Mutual Fund - SBI - ETF BSE 100,Active,A,10.0,INF200KA1572,,SETFBSE100,Equity,https://www.bseindia.com/stock-share-price/sbi-mutual-fund---sbi---etf-bse-100/setfbse100/539031/,SBI Mutual Fund,
539032,Fraser and Company Ltd,Active,X,10.0,INE184Q01010,,FRASER,Equity,https://www.bseindia.com/stock-share-price/fraser-and-company-ltd/fraser/539032/,Fraser And Company Limited,7.80
539040,Tirupati Innovar Ltd,Active,XT,10.0,INE812Q01016,,TIRUPATIIN,Equity,https://www.bseindia.com/stock-share-price/tirupati-innovar-ltd/tirupatiin/539040/,TIRUPATI INNOVAR LIMITED,48.84
539041,Ganesha Ecoverse Ltd,Active,MT,10.0,INE369Q01017,,GANVERSE,Equity,https://www.bseindia.com/stock-share-price/ganesha-ecoverse-ltd/ganverse/539041/,GANESHA ECOVERSE LIMITED,66.01
539042,AGI Infra Ltd,Active,B,1.0,INE976R01033,,AGIIL,Equity,https://www.bseindia.com/stock-share-price/agi-infra-ltd/agiil/539042/,AGI Infra Limited,3808.05
539044,Manaksia Steels Ltd,Active,B,1.0,INE824Q01011,,MANAKSTEEL,Equity,https://www.bseindia.com/stock-share-price/manaksia-steels-ltd/manaksteel/539044/,Manaksia Steels Limited,577.88
539045,Manaksia Aluminium Company Ltd,Active,B,1.0,INE859Q01017,,MANAKALUCO,Equity,https://www.bseindia.com/stock-share-price/manaksia-aluminium-company-ltd/manakaluco/539045/,Manaksia Aluminium Company Ltd,252.83
539046,Manaksia Coated Metals & Industries Ltd,Active,B,1.0,INE830Q01018,,MANAKCOAT,Equity,https://www.bseindia.com/stock-share-price/manaksia-coated-metals--industries-ltd/manakcoat/539046/,Manaksia Coated Metals & Industries Ltd,1207.04
539056,Imagicaaworld Entertainment Ltd,Active,B,10.0,INE172N01012,,IMAGICAA,Equity,https://www.bseindia.com/stock-share-price/imagicaaworld-entertainment-ltd/imagicaa/539056/,IMAGICAAWORLD ENTERTAINMENT LIMITED,2887.59
539083,Inox Wind Ltd,Active,A,10.0,INE066P01011,,INOXWIND,Equity,https://www.bseindia.com/stock-share-price/inox-wind-ltd/inoxwind/539083/,Inox Wind Limited,13566.67
539090,Rajputana Investment and Finance Ltd,Active,X,10.0,INE751R01014,,RAJPUTANA,Equity,https://www.bseindia.com/stock-share-price/rajputana-investment-and-finance-ltd/rajputana/539090/,Rajputana Investment and Finance Ltd.,9.86
539091,Consecutive Commodities Ltd,Active,XT,1.0,INE187R01029,,CCDL,Equity,https://www.bseindia.com/stock-share-price/consecutive-commodities-ltd/ccdl/539091/,Consecutive Commodities Limited,71.75
539097,UR Sugar Industries Ltd,Active,B,2.0,INE904R01027,,URSUGAR,Equity,https://www.bseindia.com/stock-share-price/ur-sugar-industries-ltd/ursugar/539097/,UR SUGAR INDUSTRIES LIMITED,14.23
539098,Filtra Consultants and Engineers Ltd,Active,M,10.0,INE541R01019,,FILTRA,Equity,https://www.bseindia.com/stock-share-price/filtra-consultants-and-engineers-ltd/filtra/539098/,Filtra Consultants and Engineers Limited,64.14
539099,Athena Constructions Ltd,Active,M,10.0,INE291R01011,,ATHCON,Equity,https://www.bseindia.com/stock-share-price/athena-constructions-ltd/athcon/539099/,Athena Constructions Limited,3.01
539110,Northlink Fiscal and Capital Services Ltd,Active,Z,10.0,INE736P01019,,NORTHLINK,Equity,https://www.bseindia.com/stock-share-price/northlink-fiscal-and-capital-services-ltd/northlink/539110/,Northlink Fiscal And Capital Services Ltd.,12.77
539111,Sheshadri Industries Ltd,Active,X,10.0,INE193R01019,,SHESHAINDS,Equity,https://www.bseindia.com/stock-share-price/sheshadri-industries-ltd/sheshainds/539111/,SHESHADRI INDUSTRIES LIMITED,7.72
539112,SAB Industries Ltd,Active,XT,10.0,INE137M01017,,SAB,Equity,https://www.bseindia.com/stock-share-price/sab-industries-ltd/sab/539112/,SAB INDUSTRIES LIMITED,266.18
539113,Paul Merchants Ltd,Active,B,10.0,INE291E01019,,PML,Equity,https://www.bseindia.com/stock-share-price/paul-merchants-ltd/pml/539113/,Paul Merchants Ltd.,151.66
539115,Alan Scott Enterprises Ltd,Active,XT,10.0,INE273F01022,,ALANSCOTT,Equity,https://www.bseindia.com/stock-share-price/alan-scott-enterprises-ltd/alanscott/539115/,ALAN SCOTT ENTERPRISES LIMITED,202.40
539116,O. P. Chains Ltd,Active,MT,10.0,INE118Q01018,,OPCHAINS,Equity,https://www.bseindia.com/stock-share-price/o-p-chains-ltd/opchains/539116/,O. P. Chains Limited,20.38
539117,Sujala Trading & Holdings Ltd,Active,X,10.0,INE029H01016,,SUJALA,Equity,https://www.bseindia.com/stock-share-price/sujala-trading--holdings-ltd/sujala/539117/,Sujala Trading & Holdings Ltd.,9.32
539118,VRL Logistics Ltd,Active,B,10.0,INE366I01010,,VRLLOG,Equity,https://www.bseindia.com/stock-share-price/vrl-logistics-ltd/vrllog/539118/,VRL Logistics Limited,4974.33
539119,Jain Marmo Industries Ltd,Active,X,10.0,INE780Q01015,,JAINMARMO,Equity,https://www.bseindia.com/stock-share-price/jain-marmo-industries-ltd/jainmarmo/539119/,Jain Marmo Industries Ltd.,6.89
539120,Grameva Ltd,Active,XT,10.0,INE578R01011,,GRAMEVA,Equity,https://www.bseindia.com/stock-share-price/grameva-ltd/grameva/539120/,GRAMEVA LIMITED,44.68
539121,Palco Metals Ltd,Active,X,10.0,INE239L01013,,PALCO,Equity,https://www.bseindia.com/stock-share-price/palco-metals-ltd/palco/539121/,Palco Metals Limited,56.62
539122,Bodhtree Consulting Ltd,Active,X,10.0,INE104F01029,,BODHTREE,Equity,https://www.bseindia.com/stock-share-price/bodhtree-consulting-ltd/bodhtree/539122/,Bodhtree Consulting Limited,31.88
539123,V B Industries Ltd,Active,X,10.0,INE334E01017,,VBIND,Equity,https://www.bseindia.com/stock-share-price/v-b-industries-ltd/vbind/539123/,V B INDUSTRIES LIMITED,11.90
